time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-18T22:33:57.310Z,38.7908325,-122.7731705,-0.23,2.57,md,47,32,0.01176,0.08,nc,nc73848286,2023-02-19T02:19:14.366Z,"2km NW of The Geysers, CA",earthquake,0.14,0.27,0.23,53,automatic,nc,nc
2023-02-18T02:35:20.340Z,36.0061667,-117.364,0.06,2.9,ml,30,75,0.1323,0.17,ci,ci40415808,2023-02-19T16:51:13.336Z,"27km N of Searles Valley, CA",earthquake,0.24,0.49,0.13,60,reviewed,ci,ci
2023-02-17T21:54:05.740Z,38.9031666666667,-82.0403333333333,0.08,2.61,md,11,122,0.7716,0.3,se,se60500438,2023-02-27T19:08:37.049Z,"7 km SE of Cheshire, Ohio",earthquake,0.69,3.42,0.0761926217546476,7,reviewed,se,se
2023-02-17T20:45:57.679Z,36.38233333,-97.64483333,7.74,3.11,ml,98,31,0,0.19,ok,ok2023djlr,2023-02-18T03:48:05.837Z,"6 km ENE of Fairmont, Oklahoma",earthquake,,0.5,0.22,41,reviewed,ok,ok
2023-02-17T15:58:55.150Z,39.7455,-124.043,5.64,2.62,md,33,186,0.176,0.15,nc,nc73847776,2023-02-22T19:55:13.832Z,"18km W of Cape Vizcaino, CA",earthquake,0.46,0.75,0.168,26,reviewed,nc,nc
2023-02-17T15:58:27.550Z,39.7516667,-124.0443333,4.41,2.52,md,38,186,0.1774,0.2,nc,nc73847771,2023-02-22T19:40:16.639Z,"18km W of Cape Vizcaino, CA",earthquake,0.58,1.07,0.168,30,reviewed,nc,nc
2023-02-17T14:36:10.870Z,40.2818333,-124.5003333,19.77,2.93,md,32,247,0.1208,0.13,nc,nc73847741,2023-02-20T23:08:13.612Z,"19km WSW of Petrolia, CA",earthquake,0.6,0.26,0.155,61,reviewed,nc,nc
2023-02-16T19:13:53.450Z,38.8388329,-122.8191681,1.95,2.62,md,51,38,0.01275,0.06,nc,nc73847376,2023-02-22T02:13:20.500Z,"8km WNW of Cobb, CA",earthquake,0.16,0.24,0.15,56,automatic,nc,nc
2023-02-16T12:37:25.607Z,31.3667,-115.7109,21.518,2.8,ml,29,177,0.067,1.56,us,us6000jpdm,2023-02-17T06:18:52.040Z,"51 km E of San Vicente, Mexico",earthquake,3.14,7.023,0.094,15,reviewed,us,us
2023-02-16T12:25:28.086Z,32.75665283,-100.6508432,8.192342122,2.5,ml,16,94,0.07266699627,0.1,tx,tx2023dgzt,2023-02-17T06:16:03.040Z,"16 km NE of Hermleigh, Texas",earthquake,0.7606245569,1.131137105,0.1,13,reviewed,tx,tx
2023-02-16T10:42:32.399Z,32.74932861,-100.6594179,9.121622721,2.6,ml,18,70,0.08288434074,0.1,tx,tx2023dgwi,2023-02-17T06:13:57.040Z,"15 km NE of Hermleigh, Texas",earthquake,0.5881133163,0.737318453,0.1,14,reviewed,tx,tx
2023-02-16T10:29:04.966Z,32.7456665,-100.6594179,7.849975586,4.7,ml,33,48,0.08525345248,0.3,tx,tx2023dgvx,2023-02-23T22:33:19.453Z,"15 km NE of Hermleigh, Texas",earthquake,1.270893694,2.612447472,0.1,16,reviewed,tx,tx
2023-02-16T09:07:35.320Z,41.507,-112.1761667,7.26,3.17,ml,43,72,0.1001,0.21,uu,uu60531356,2023-02-22T23:36:31.912Z,"7 km SW of Corinne, Utah",earthquake,0.32,0.63,0.104,24,reviewed,uu,uu
2023-02-16T05:03:36.439Z,31.64805961,-104.4040832,7.159887695,3,ml,39,64,0.02518615648,0.3,tx,tx2023dgle,2023-02-24T18:44:02.897Z,"58 km S of Whites City, New Mexico",earthquake,1.023250265,1.231860462,0.1,23,reviewed,tx,tx
2023-02-16T02:46:47.340Z,38.8303337,-122.8181686,1.86,2.55,md,55,36,0.00938,0.06,nc,nc73847056,2023-02-16T18:10:19.040Z,"8km NW of The Geysers, CA",earthquake,0.13,0.2,0.16,66,automatic,nc,nc
2023-02-16T02:26:33.890Z,31.5968333,-116.0198333,9,2.8,ml,13,188,0.2873,0.12,ci,ci40415072,2023-02-16T17:08:49.040Z,"53km ESE of Maneadero, B.C., MX",earthquake,0.42,1.16,0.163,44,reviewed,ci,ci
2023-02-15T08:49:23.933Z,31.6742795,-104.4005523,6.131567383,2.8,ml,17,66,0.03237622856,0.3,tx,tx2023dexc,2023-02-15T23:34:06.607Z,"55 km S of Whites City, New Mexico",earthquake,1.124089835,1.16728297,0.1,10,reviewed,tx,tx
2023-02-14T22:01:55.667Z,32.10754395,-102.1353373,7.874430339,2.9,ml,17,79,0.03473961718,0.2,tx,tx2023debt,2023-02-17T21:09:48.245Z,"13 km NNW of Midland, Texas",earthquake,0.6518244796,1.453149027,0.2,13,reviewed,tx,tx
2023-02-14T17:41:39.090Z,40.224,-123.1501667,39.42,3,ml,77,25,0.2123,0.15,nc,nc73846356,2023-02-15T00:40:13.031Z,"37km S of Hayfork, CA",earthquake,0.23,0.55,0.212,21,reviewed,nc,nc
2023-02-14T03:16:35.216Z,44.462,-115.2003,16.253,2.7,ml,15,62,0.846,0.44,us,us6000jnpm,2023-02-15T02:57:40.249Z,"34 km NW of Stanley, Idaho",earthquake,1.93,7.394,0.062,34,reviewed,us,us
2023-02-14T03:06:51.280Z,37.5661667,-118.9276667,8.68,2.84,md,29,72,0.04691,0.04,nc,nc73846081,2023-02-18T02:50:14.206Z,"9km SSE of Mammoth Lakes, CA",earthquake,0.22,0.56,0.1,47,reviewed,nc,nc
2023-02-14T00:54:54.050Z,37.5656667,-118.9258333,9.04,2.84,ml,31,54,0.04711,0.04,nc,nc73845971,2023-02-26T05:13:39.040Z,"9km SSE of Mammoth Lakes, CA",earthquake,0.21,0.49,0.257,23,reviewed,nc,nc
2023-02-13T13:03:46.260Z,36.22,-117.8596667,2.97,2.87,ml,31,51,0.1023,0.16,ci,ci40414144,2023-02-20T16:00:21.040Z,"15km ESE of Olancha, CA",earthquake,0.19,0.75,0.217,63,reviewed,ci,ci
2023-02-13T12:15:16.554Z,44.1915,-115.1168,10,2.5,ml,16,72,0.809,0.36,us,us6000jnku,2023-02-13T12:25:50.040Z,"14 km WSW of Stanley, Idaho",earthquake,1.63,2,0.05,52,reviewed,us,us
2023-02-13T11:19:10.380Z,37.5066667,-118.7941667,9.04,2.69,md,29,59,0.07089,0.04,nc,nc73845701,2023-02-17T22:54:16.898Z,"12km WSW of Toms Place, CA",earthquake,0.26,0.64,0.146,53,reviewed,nc,nc
2023-02-13T10:09:46.070Z,32.9858333,-115.9256667,11.07,3.24,ml,79,39,0.09067,0.25,ci,ci40414104,2023-02-17T10:22:45.569Z,"26km SE of Ocotillo Wells, CA",earthquake,0.18,0.49,0.167,121,reviewed,ci,ci
2023-02-13T10:07:48.372Z,43.5553,-107.3955,11.104,3.7,ml,21,68,1.107,0.58,us,us6000jnke,2023-02-14T10:12:27.718Z,"53 km S of Ten Sleep, Wyoming",earthquake,4.44,7.818,0.046,62,reviewed,us,us
2023-02-13T06:48:23.041Z,31.66423706,-104.4585951,8.75378418,2.5,ml,34,65,0.02403775758,0.2,tx,tx2023dbcd,2023-02-17T21:17:33.040Z,"57 km S of Whites City, New Mexico",earthquake,0.9562700403,0.6901015158,0.1,25,reviewed,tx,tx
2023-02-12T20:34:24.157Z,32.74932861,-100.6572742,8.290161133,3.1,ml,20,57,0.08149686084,0.1,tx,tx2023dahw,2023-02-20T16:02:33.040Z,"15 km NE of Hermleigh, Texas",earthquake,0.7075737672,1.05498376,0.1,10,reviewed,tx,tx
2023-02-12T20:12:16.840Z,40.5968333,-123.847,24.52,2.64,md,39,59,0.05879,0.14,nc,nc73845416,2023-02-20T16:05:47.040Z,"22km ENE of Hydesville, CA",earthquake,0.27,0.69,0.112,45,reviewed,nc,nc
2023-02-12T20:08:17.977Z,32.75115967,-100.6615615,7.752156576,2.6,ml,25,57,0.08315822377,0.2,tx,tx2023dagz,2023-02-20T16:06:15.040Z,"15 km NE of Hermleigh, Texas",earthquake,0.7814581566,1.103120363,0.1,16,reviewed,tx,tx
2023-02-12T19:23:17.172Z,31.65205839,-104.3898571,4.511962890999999,3,ml,25,63,0.03619784144,0.2,tx,tx2023dafm,2023-02-20T16:10:40.040Z,"58 km S of Whites City, New Mexico",earthquake,1.116702536,1.110259114,0.1,15,reviewed,tx,tx
2023-02-12T18:30:38.070Z,36.6335,-98.49833333,2.4,2.61,ml,96,61,0.1196765154,0.21,ok,ok2023dadt,2023-02-20T16:15:01.040Z,"6 km ESE of Dacoma, Oklahoma",earthquake,,0.6,0.22,42,reviewed,ok,ok
2023-02-12T15:30:32.340Z,40.3918333,-124.3646667,21.21,2.9,ml,36,203,0.08618,0.13,nc,nc73845301,2023-02-14T00:37:14.354Z,"10km NW of Petrolia, CA",earthquake,0.38,0.22,0.184,26,reviewed,nc,nc
2023-02-12T13:31:20.040Z,33.1791667,-115.6121667,2.28,2.61,ml,57,85,0.003369,0.23,ci,ci40413800,2023-02-18T02:18:59.299Z,"11km WNW of Calipatria, CA",earthquake,0.24,0.25,0.173,37,reviewed,ci,ci
2023-02-12T12:57:06.698Z,31.99327185,-103.882719,7.005639647999999,2.6,ml,27,87,0.07371174224,0.2,tx,tx2023czst,2023-02-14T18:54:48.943Z,"31 km SE of Malaga, New Mexico",earthquake,0.8153377889999999,1.242139439,0.2,36,reviewed,tx,tx
2023-02-12T06:01:34.230Z,39.3948333,-112.1028333,2.45,2.96,ml,21,60,0.05576,0.18,uu,uu60530961,2023-02-13T14:33:46.271Z,"Utah",earthquake,0.37,1.77,0.172,20,reviewed,uu,uu
2023-02-12T01:22:17.621Z,43.5344,-110.398,5,3.5,ml,30,79,0.169,0.55,us,us6000jnd8,2023-02-16T18:37:35.398Z,"20 km ESE of Kelly, Wyoming",earthquake,1.62,0.495,0.051,50,reviewed,us,us
2023-02-12T00:46:55.050Z,40.5441667,-124.6026667,21.1,2.57,md,34,245,0.2135,0.15,nc,nc73845136,2023-02-27T00:03:37.040Z,"29km W of Ferndale, CA",earthquake,0.52,0.37,0.238,31,reviewed,nc,nc
2023-02-11T20:27:18.949Z,32.75115967,-100.6529869,8.925984701,3.5,ml,21,70,0.07756297623,0.2,tx,tx2023cymd,2023-03-03T06:36:25.086Z,"16 km NE of Hermleigh, Texas",earthquake,0.6606063484,1.090392179,0.1,11,reviewed,tx,tx
2023-02-11T19:45:40.610Z,32.889,-116.2381667,5.56,2.5,ml,75,50,0.08537,0.21,ci,ci40413576,2023-02-13T17:07:29.630Z,"28km ENE of Pine Valley, CA",earthquake,0.15,0.61,0.141,66,reviewed,ci,ci
2023-02-11T19:21:55.780Z,31.9108333,-116.3773333,22.46,2.77,ml,15,192,0.3768,0.16,ci,ci40413568,2023-03-03T06:17:00.040Z,"23km ENE of Ensenada, B.C., MX",earthquake,0.62,1.92,0.145,56,reviewed,ci,ci
2023-02-11T06:05:16.040Z,33.8841667,-119.3038333,5.9,2.83,ml,36,157,0.3042,0.27,ci,ci40413368,2023-02-23T13:46:47.040Z,"26km SE of Santa Cruz Is. (E end), CA",earthquake,0.68,31.61,0.132,84,reviewed,ci,ci
